action,J_mean,J_last_mean
knead,0.41350000000000003,0.3665
trim,0.4386666666666666,0.506
open,0.2165,0.0
paint,0.19524999999999998,0.08725
split,0.525,0.5875
cut,0.3434,0.2084333333333334
peel,0.5415,0.40412499999999996
close,0.5840000000000001,0.659
clean,0.914,0.804
spread,0.39549999999999996,0.242
tear,0.292,0.696
unscrew,0.367,0.3715
break,0.205,0.10487500000000001
unpack,0.718,0.797
squeeze,0.8033333333333333,0.765
fold,0.111,0.097
pour,0.475,0.285
divide,0.1935,0.028749999999999998
apply,0.084,0.0
roll,0.39949999999999997,0.108
